Tanggal;Harga Cabai (Ribu Rupiah)
29/07/2022;73,6
01/08/2022;71,3
02/08/2022;70,75
03/08/2022;70,2
04/08/2022;69,55
05/08/2022;69,2
08/08/2022;69,05
09/08/2022;68,75
10/08/2022;68,15
11/08/2022;66,9
12/08/2022;65,7
15/08/2022;63,7
16/08/2022;63,2
17/08/2022;65,45
18/08/2022;63,25
19/08/2022;63
22/08/2022;61,85
23/08/2022;60,9
24/08/2022;60,45
25/08/2022;60,35
26/08/2022;60,25
29/08/2022;61,15
30/08/2022;61,65
31/08/2022;62,1
01/09/2022;62,4
02/09/2022;62,9
05/09/2022;69
06/09/2022;70,15
07/09/2022;71,2
08/09/2022;70,75
09/09/2022;70,05
12/09/2022;66,2
13/09/2022;65,5
14/09/2022;63,85
15/09/2022;63,4
16/09/2022;62,55
19/09/2022;61,2
20/09/2022;60,75
21/09/2022;59,9
22/09/2022;58,6
23/09/2022;57,4
26/09/2022;54,45
27/09/2022;53,8
28/09/2022;52,55
29/09/2022;51,65
30/09/2022;51,3
03/10/2022;50,55
04/10/2022;50,3
05/10/2022;50,8
06/10/2022;50,3
07/10/2022;50,6
10/10/2022;52
11/10/2022;51,55
12/10/2022;51,35
13/10/2022;50,95
14/10/2022;50
17/10/2022;46,45
18/10/2022;45,5
19/10/2022;44,65
20/10/2022;43,85
21/10/2022;43,15
24/10/2022;42,6
25/10/2022;42,05
26/10/2022;41,4
27/10/2022;40,8
28/10/2022;40,85
31/10/2022;39,55
01/11/2022;39,55
02/11/2022;39,15
03/11/2022;38,7
04/11/2022;38,6
07/11/2022;37,8
08/11/2022;37,2
09/11/2022;37
10/11/2022;36,9
11/11/2022;36,9
14/11/2022;36,75
15/11/2022;36,8
16/11/2022;36,55
17/11/2022;36,35
18/11/2022;36,45
21/11/2022;37,2
22/11/2022;37,25
23/11/2022;37,2
24/11/2022;37,15
25/11/2022;37
28/11/2022;36,85
29/11/2022;36,85
30/11/2022;36,75
01/12/2022;36,85
02/12/2022;37
05/12/2022;37,7
06/12/2022;37,85
07/12/2022;38,1
08/12/2022;38,25
09/12/2022;38,5
12/12/2022;38,95
13/12/2022;39,1
14/12/2022;39,15
15/12/2022;38,65
